,,NAME,FIRST NAMES,TRIBE,NAT,D,M,Y,ROUTE,CAUSE,
BP,1,PUJOL,Enric,Catalan,E,05.,08.,1981,W Spur-Broad Col-N Ridge,Fall,x
BP,2,FRICK,Hans,,CAN,16.,05.,1982,W Spur-Broad Col-N Ridge,Avalanche,
BP,3,THEXTON,Peter,,UK,29.,06.,1983,W Spur-Broad Col-N Ridge,Illness,
BP,4,KOZLOWSKA,Barbara,f,POL,18.,08.,1985,W Spur-Broad Col-N Ridge,Drowned glacier stream above BC,
BP,5,ELLIOTT,Liam,Scot,UK,22.,08.,1986,W Spur-Broad Col-N Ridge,Fell through a hole in the cornice of summit ridge,
BP,6,JANG,Yong-Il,,SK,20.,08.,1988,W Spur-Broad Col-N Ridge (at Foresummit),Avalanche,
BP,7,LYNCKE-KRÜGER,Kurt,,GER,24.,07.,1990,W Spur-Broad Col-N Ridge,Fall,
BP,8,BÍLEK,Bohuslav,,CZE,11.,06.,1994,W Spur-Broad Col-N Ridge,Altitude edema at BC,
BP,9,HIMER,Alexej,,CZE,22.,06.,1994,W Spur-Broad Col-N Ridge,Fall,
BP,10,PARK,Hyun-Jae,,SK,12.,07.,1995,W Spur-Broad Col-N Ridge,Fall,x
BP,11,LIN,Sun-Taek,,SK,23.,07.,1996,W Spur-Broad Col-N Ridge,Exposure?,
BP,12,YANG,Jae-Mo,,SK,23.,07.,1996,W Spur-Broad Col-N Ridge,Exposure?,x
BP,13,HAN,Dong-Keun,,SK,23.,07.,1996,W Spur-Broad Col-N Ridge,Exposure?,x
BP,14,YOKOTAGAWA,Fukuzo,,JAP,16.,06.,1997,W Spur-Broad Col-N Ridge,Avalanche (between Camp III and Camp II),
BP,15,BUBB,Jefferey,,USA,16.,06.,1997,W Spur-Broad Col-N Ridge,Avalanche,
BP,16,ESCOFFIER,Eric,,F,29.,07.,1998,W Spur-Broad Col-N Ridge,Disappearance,
BP,17,BESSIÈRES,Pascale,f,F,29.,07.,1998,W Spur-Broad Col-N Ridge,Disappearance,
BP,18,HUN,Seong-Kwan,,SK,11.,07.,1999,W Spur-Broad Col-N Ridge,Fall,
BP,19,KRONTHALER,Markus,,A,08.,07.,2006,W Spur-Broad Col-N Ridge,Exhaustion ?,x
BP,20,PLULÍK,Vladimír (Vlado),,SLK,27.,06.,2008,W Spur-Broad Col-N Ridge,Disappearance,
BP,21,CASTAGNA,Cristina,f,ITA,18.,07.,2009,W Spur-Broad Col-N Ridge,Fall into Crevasse,
BC,1 NOWACZYK,,Bohdan,,POL,28.,07.,1975,W Face-S Ridge,Disappearance,x
BC,2 KĘSICKI,,Marek,,POL,29.,07.,1975,W Face-S Ridge,Fall,x
BC,3 SIKORSKI,,Andrzej,,POL,29.,07.,1975,W Face-S Ridge,Fall,x
© Eberhard Jurgalski for 8000ers.com,,,,,,,,,,,
