NAME,FIRST NAME,TRIBE,NAT.,,D,M,Y,ROUTE,CAUSE,
1,LUCHSINGER,Fritz,,CH,28.,04.,1983,Chinese traverse,Altitude Edema,
2,LEONARDI,Luca,,CH,04.,10.,1989,N ridge to Central-Peak,Avalache,
3,MARTÍNEZ,Joan,Catalan,E,15.,10.,1990,Chinese traverse,Exposure,x
4,BRAUN,Werner,,GER,22.,05.,1991,N ridge to Central-Peak,Disappearance (probably avalanche),
5,MEICHSNER,Werner,,GER,22.,05.,1991,N ridge to Central-Peak,Disappearance (probably avalanche),
6,SEMMLER,Günther,,GER,22.,05.,1991,N ridge to Central-Peak,Disappearance (probably avalanche),
7,THIELE,Karl-Heinz,,GER,22.,05.,1991,N ridge to Central-Peak,Disappearance (probably avalanche),
8,GOMI,Hidekazu,,JAP,20.,09.,1991,Chinese traverse,Avalanche,
9,MIYASHITA,Tetsuichi,,JAP,20.,09.,1991,Chinese traverse,Avalanche,
10,PARK,Bueoung-Tae,,SK,29.,09.,1993,N ridge to Central-Peak,Fall,
11,GASSEN,Tod,,USA,18.,09.,1994,N ridge to Central-Peak,Fall in crevasse,
12,ŠLACHTA,Zdeněk,,CZE,01.,10.,1994,"SW Face, Central Buttress",Avalanche,
13,SLUKA,Štefan,,SLK,01.,05.,1996,Chinese traverse,Disappearance,x
14,PASTUKH,Viktor,,UKR,05.,10.,1996,Chinese traverse,Avalanche,
15,VASILENKO,Gennadi,Jaltan,UKR,05.,10.,1996,Chinese traverse,Avalanche,
16,KUO,Ming-Tse,,TAI,,05.,1997,N ridge to Central-Peak,Fell from SC summit,
17,PASINI,Andreino,,ITA,21.,05.,1998,N ridge to Central-Peak,Illness,
18,LOWE,Alex,,USA,05.,10.,1999,SW Face right hand couloir,Avalanche,
19,BRIDGES,David,,USA,05.,10.,1999,SW Face right hand couloir,Avalanche,
20,OCZKO,Martin,,CZE,28.,09.,2005,N ridge to Central-Peak,AMS,
21,KRYLOV,Stanislav (Stas),,RUS,03.,10.,2005,N ridge to Central-Peak,Disappearance,
22,CARVALHO,Bruno,,POR,01.,11.,2006,Chinese traverse,Fall,x
23,HUDÁK,Marek,,SLK,24.,04.,2007,SW Face right hand couloir,Disappearance,
24,PIANTONI,Roberto (Roby),,ITA,15.,10.,2009,SW Face right hand couloir,Fall,
© Eberhard Jurgalski for 8000ers.com,,,,,,,,,,
