name,first name,nation,people,,date,month,year,route,
KAUFFMAN,Andrew John (Andy),USA,,,5,7,1958,IHE Spur to SE Ridge,
SCHOENING,Peter Kittlesby (Pete),USA,,,5,7,1958,IHE Spur to SE Ridge,
HABELER,Peter,A,,,10,8,1975,NW Face,
MESSNER,Reinhold,ITA,South Tyrolean,,10,8,1975,NW Face,
SCHAUER,Robert,A,,,11,8,1975,IHE Spur to SE Ridge,
SCHELL,Hanns,A,,,11,8,1975,IHE Spur to SE Ridge,
ZEFFERER,Herbert,A,Steiermark,,11,8,1975,IHE Spur to SE Ridge,
ŠTREMFELJ,Andrej,SLO,,,8,7,1977,W Ridge,
ZAPLOTNIK,Jernej (Nejc),SLO,,,8,7,1977,W Ridge,
BARRARD,Maurice,F,,,15,7,1980,Over Hidden Sud to SE Ridge,
NARBAUD,Georges,F,,,15,7,1980,Over Hidden Sud to SE Ridge,
AZUMA,Hideki,JAP,,,3,8,1981,IHE Spur to SE Ridge,
SHIMOTORI,Kozo,JAP,,,3,8,1981,IHE Spur to SE Ridge,
DACHER,Michael (Michel),GER,Bayern,,22,7,1982,NW Face (German variant),
HUPFAUER,Siegfried,GER,Bayern,,22,7,1982,NW Face (German variant),
STURM,Günter,GER,Bayern,,22,7,1982,NW Face (German variant),
ALI,Mohammad,PAK,,,27,7,1982,IHE Spur to SE Ridge,
OLLAGNIER,Jean-Pierre,F,,,27,7,1982,IHE Spur to SE Ridge,
SAUDAN,Sylvain,CH,,,27,7,1982,IHE Spur to SE Ridge,
SEMBLANET,Daniel,F,,,27,7,1982,IHE Spur to SE Ridge,
VALLENÇANT,Marie-Josée,F,,,27,7,1982,IHE Spur to SE Ridge,
LORETAN,Erhard,CH,,,23,6,1983,NW Face (Swiss variant),
RUEDI,Marcel,CH,,,23,6,1983,NW Face (Swiss variant),
MORAND,Pierre,CH,,,24,6,1983,NW Face (Swiss variant),
SONNENWYL,Jean-Claude,CH,,,24,6,1983,NW Face (Swiss variant),
KUKUCZKA,Jerzy,POL,,,23,7,1983,SW Face,
KURTYKA,Wojciech,POL,,,23,7,1983,SW Face,
ARNAL,Victor,E,Aragonese,,22,8,1983,W Ridge oHidden Sud to SE Ridge,
CINTO,Ignacio,E,Aragonese,,22,8,1983,W Ridge oHidden Sud to SE Ridge,
ESCARTIN,Javier,E,Aragonese,,22,8,1983,W Ridge oHidden Sud to SE Ridge,
LÓPEZ,Jerónimo,E,Galician,,22,8,1983,W Ridge oHidden Sud to SE Ridge,
ORTAS,Lorenzo,E,Aragonese,,22,8,1983,W Ridge oHidden Sud to SE Ridge,
UBIETO,Antonio,E,Aragonese,,22,8,1983,W Ridge oHidden Sud to SE Ridge,
KAMMERLANDER,Johann (Hans),ITA,South Tyrolean,,28,6,1984,NW Face (third variant),
MESSNER,Reinhold,ITA,South Tyrolean,,28,6,1984,NW Face (third variant),
CAMOZZI,Pierantonio,ITA,,,9,6,1985,NW Face (fourth variant),
DA POLENZA,Agostino,ITA,,,9,6,1985,NW Face (fourth variant),
CALCAGNO,Giovanni,ITA,,,19,6,1985,NW Face (German variant),
VIDONI,Tullio,ITA,,,19,6,1985,NW Face (German variant),
CHAMOUX,Benoît,F,,,22,6,1985,NW Face (Swiss variant),
ESCOFFIER,Eric,F,,,22,6,1985,NW Face (Swiss variant),
DI FEDERICO,Gianpiero,ITA,,,14,7,1985,NW Face (Swiss variant),
SHIMIZU,Osamu,JAP,,,2,8,1986,Japanese Couloir,
WAKUTSU,Kiyoshi,JAP,,,2,8,1986,Japanese Couloir,
BARTHÉLÉMY,Antoine,F,,,3,8,1986,NW Face (Swiss variant),
JANIN,Christine,F,f,,3,8,1986,NW Face (Swiss variant),
JOSWIG,Reinmar,GER,,,3,8,1986,NW Face (Swiss variant),
BÜHRER,Andreas,CH,,,18,8,1986,NW Face (German variant),
KÖLLEMANN,Karl,A,,,18,8,1986,NW Face (German variant),
LORENZ,Manfred,A,,,18,8,1986,NW Face (German variant),
SCHMATZ,Gerhard,GER,Bayern,,18,8,1986,NW Face (German variant),
GÁLFY,Robert,SLK,,,20,6,1988,Japanese Couloir,
ŠOLTÉS,František,SLK,,,20,6,1988,Japanese Couloir,
URBANOVIČ,Ivan (jr),SLK,,,20,6,1988,Japanese Couloir,
ENDO,Haruyuki,JAP,,,12,7,1989,Japanese Couloir,
ENDO,Yuka,JAP,f,,12,7,1989,Japanese Couloir,
TSINDI DORJE,,NEP,Sherpa,,12,7,1989,Japanese Couloir,
KATAYAMA,Takahiro,JAP,,,15,7,1990,W Ridge (variant),
RAZA,Ali,PAK,,,15,7,1990,W Ridge (variant),
SHAH,Rajab,PAK,,,15,7,1990,W Ridge (variant),
YAMANE,Tomoyuki,JAP,,,15,7,1990,W Ridge (variant),
PANEJKO-PANKIEWICZ,Ewa,POL,f,,16,7,1990,Japanese Couloir,
PARK,Hyeok-Sang,SK,,,16,7,1990,Japanese Couloir,
RUTKIEWICZ (b BŁASZKIEWICZ),Wanda,POL,f,,16,7,1990,Japanese Couloir,
DERYCKE,Georges,F,,,26,7,1990,W Ridge (variant),
ESTÈVE,Alain,F,,,26,7,1990,W Ridge (variant),
TEDESCHI,Yves,F,,,26,7,1990,W Ridge (variant),
ULLAH,Mohammad,PAK,,,26,7,1990,W Ridge (variant),
