I,A,NAME,First Names,S,NATION,Nan,PEOPLE,date,month,year,ROUTE,NOTE,EXP,LEADER,
1,1,BUHL,Hermann,Nan,A,1,Nan,3,7,1953,Rakhiot Flank,Nan,Ger,Karl Maria Herrligkoffer,
2,2,KINSHOFER,Toni,Nan,Ger,2,Nan,22,6,1962,Diamir Face (Kinshofer),Nan,Ger,Karl Maria Herrligkoffer,
3,3,LÖW,Siegfried,Nan,Ger,Nan,Nan,22,6,1962,Diamir Face (Kinshofer),died on descent,Ger,Karl Maria Herrligkoffer,
4,4,MANNHARDT,Andreas,Nan,Ger,Nan,Nan,22,6,1962,Diamir Face (Kinshofer),Nan,Ger,Karl Maria Herrligkoffer,
5,5,MESSNER,Günther,Nan,It,3,Tyrolean,27,6,1970,Rupal Face direct,died on descent,Ger,Karl Maria Herrligkoffer,
6,6,MESSNER,Reinhold,1,It,Nan,Tyrolean,27,6,1970,Rupal Face direct,Nan,Ger,Karl Maria Herrligkoffer,
7,7,KUEN,Felix,Nan,A,Nan,Nan,28,6,1970,Rupal Face direct,Nan,Ger,Karl Maria Herrligkoffer,
8,8,SCHOLZ,Peter,Nan,Ger,Nan,Nan,28,6,1970,Rupal Face direct,Nan,Ger,Karl Maria Herrligkoffer,
9,9,FIALA,Ivan,Nan,Slk,4,Nan,11,7,1971,Rakhiot Flank,Nan,Slk,Ivan Gálfy,
10,10,OROLIN,Michal,Nan,Slk,Nan,Nan,11,7,1971,Rakhiot Flank,Nan,Slk,Ivan Gálfy,
11,11,GIMPEL,Siegfried,Nan,A,Nan,Nan,11,8,1976,Rupal Face (Schell),Nan,A,Hanns Schell,
12,12,SCHAUER,Robert,Nan,A,Nan,Nan,11,8,1976,Rupal Face (Schell),Nan,A,Hanns Schell,
13,13,SCHELL,Hanns,Nan,A,Nan,Nan,11,8,1976,Rupal Face (Schell),Nan,A,Hanns Schell,
14,14,STURM,Hilmar,Nan,A,Nan,Nan,11,8,1976,Rupal Face (Schell),Nan,A,Hanns Schell,
Nan,15,MESSNER,Reinhold,2,It,Nan,Tyrolean,9,8,1978,Diamir Face direct,Nan,It,Reinhold Messner,
15,16,BAUER,Wilhelm,Nan,A,Nan,Nan,23,8,1978,Kinshofer (variant 1),Nan,A,Rudolf Wurzer,
16,17,STREIF,Reinhard,Nan,A,Nan,Nan,23,8,1978,Kinshofer (variant 1),Nan,A,Rudolf Wurzer,
17,18,WURZER,Rudolf,Nan,A,Nan,Nan,23,8,1978,Kinshofer (variant 1),Nan,A,Rudolf Wurzer,
18,19,IMITZER,Alfred,Nan,A,Nan,Nan,28,8,1978,Kinshofer (variant 1),Nan,A,Rudolf Wurzer,
19,20,INDRICH,Alois,Nan,A,Nan,Nan,28,8,1978,Kinshofer (variant 1),Nan,A,Rudolf Wurzer,
20,21,NAAR,Ronald,Nan,NL,5,Nan,5,8,1981,Schell (variant 1),Nan,NL,Ronald Naar,
21,22,FASSI,Alessandro,Nan,It,Nan,Nan,19,8,1981,Kinshofer (variant 2),Nan,It,Augusto Zanotti,
22,23,ROTA,Luigi,Nan,It,Nan,Nan,19,8,1981,Kinshofer (variant 2),Nan,It,Augusto Zanotti,
23,24,SCANABESSI,Gianbattista,Nan,It,Nan,Nan,19,8,1981,Kinshofer (variant 2),Nan,It,Augusto Zanotti,
24,25,JOOS,Norbert,Nan,CH,6,Nan,10,6,1982,Kinshofer (variant 1),Nan,CH,Stefan Wörner,
25,26,LORETAN,Erhard,Nan,CH,Nan,Nan,10,6,1982,Kinshofer (variant 1),Nan,CH,Stefan Wörner,
26,27,ENGL,Hans,Nan,Ger,Nan,Nan,14,7,1982,Kinshofer (variant 1),Nan,Internat,Pierre Mazeaud (F),
27,28,KOBLMÜLLER,Eduard,Nan,A,Nan,Nan,17,7,1983,Rupal Face (Schell),Nan,A,Walter Göttinger,
28,29,NAKANISHI,Norio,Nan,Jp,7,Nan,31,7,1983,Kinshofer (variant 1),Nan,Jp,Shigeyoshi Kido,
29,30,TANIGUCHI,Mamoru,Nan,Jp,Nan,Nan,31,7,1983,Kinshofer (variant 1),Nan,Jp,Shigeyoshi Kido,
30,31,DE PABLO,Enríque (Kike),Nan,E,8,Basque,5,8,1983,Kinshofer (variant 1),Nan,E,José Luis Zuloaga,
31,32,ZULOAGA,José Luis,Nan,E,Nan,Basque,5,8,1983,Kinshofer (variant 1),Nan,E,José Luis Zuloaga,
