peak id,name,height,region,host country,status,fa,fa expedition ID,fa country
AMAD,Ama Dablam,6814,2,1,2,1961,AMAD61101,"New Zealand, USA, UK"
AMPG,Amphu Gyabjen,5630,2,1,2,1953,AMPG53101,UK
ANN1,Annapurna I,8091,5,1,2,1950,ANN150101,France
ANN2,Annapurna II,7937,5,1,2,1960,ANN260101,"UK, Nepal"
ANN3,Annapurna III,7555,5,1,2,1961,ANN361101,India
ANN4,Annapurna IV,7525,5,1,2,1955,ANN455101,W Germany
ANNE,Annapurna I East,8026,5,1,2,1974,ANNE74101,Spain
ANNM,Annapurna I Middle,8051,5,1,2,1980,ANNM80301,W Germany
ANNS,Annapurna South,7219,5,1,2,1964,ANNS64301,"Japan, Nepal"
APIM,Api Main,7132,7,1,2,1960,APIM60101,"Japan, Nepal"
APIW,Api West,7076,7,1,1,,,
BARU,Baruntse,7152,2,1,2,1954,BARU54101,New Zealand
BAUD,Baudha,6672,4,1,2,1970,BAUD70101,Japan
BHEM,Bhemdang Ri,6150,3,1,2,1964,BHEM64101,"Japan, Nepal"
BHRI,Bhrikuti,6476,5,1,2,1982,BHRI82101,"Japan, Nepal"
BOBA,Bobaye,6808,7,1,2,1996,BOBA96301,Slovenia
CHAM,Chamlang,7321,2,1,2,1962,CHAM62101,"Japan, Nepal"
CHAN,Changla,6563,7,4,2,2010,CHAN10301,Japan
CHMN,Chamar North,7165,4,1,2,1953,CHMN53101,"New Zealand, Nepal"
CHEO,Cheo Himal,6820,5,4,2,1991,CHEO91301,"Japan, Nepal"
CHOY,Cho Oyu,8188,2,4,2,1954,CHOY54301,"Austria, Nepal"
CHOB,Chobuje,6686,2,1,2,1972,CHOB72101,W Germany
CHOL,Cholatse,6423,2,1,2,1982,CHOL82101,"USA, UK"
CHOP,Cho Polu,6700,2,1,2,1984,CHOP84301,Spain
CHUL,Chulu Central,6584,5,1,2,1955,CHUL55201,W Germany
CHUG,Chukyima Go,6258,2,1,2,2014,CHUG14301,Slovenia
CHUR,Churen Himal Central,7385,6,1,2,1970,CHUR70301,Japan
CHUW,Chulu West,6419,5,1,2,1952,CHUW52301,Japan
TAPL,Taple Shikhar,6447,1,1,2,1998,TAPL98301,"Japan, Nepal"
CTSE,Changtse,7583,2,2,2,1982,CTSE82301,W Germany
DHA1,Dhaulagiri I,8167,6,1,2,1960,DHA160101,"Switzerland, Austria, W Germany, Nepal"
DHA2,Dhaulagiri II,7751,6,1,2,1971,DHA271101,"Austria, USA, Nepal"
DHA3,Dhaulagiri III,7715,6,1,2,1973,DHA373301,W Germany
DHA4,Dhaulagiri IV,7661,6,1,2,1975,DHA475101,Japan
DHA5,Dhaulagiri V,7618,6,1,2,1975,DHA575101,"Japan, Nepal"
DHA6,Dhaulagiri VI,7268,6,1,2,1970,DHA670101,Japan
DHAM,Dhampus,6012,6,1,2,1960,DHAM60101,Austria
DOGA,Dogari,6536,6,1,1,,,
PEMK,Pemthang Karpo Ri,6865,3,4,2,1955,PEMK55101,"Switzerland, Nepal"
DORJ,Dorje Lhakpa,6966,3,1,2,1981,DORJ81301,"Japan, Nepal"
DRAN,Drangnag Ri,6757,2,1,2,1995,DRAN95101,"Norway, UK, Nepal"
DROM,Drohmo,6881,1,1,1,,,
EVER,Everest,8850,2,4,2,1953,EVER53101,"New Zealand, India"
FANG,Fang,7647,5,1,2,1980,FANG80101,"Austria, Nepal"
FIRN,Firnkopf,6730,7,1,1,,,
FIRW,Firnkopf West,6745,7,1,2,1987,FIRW87301,"Austria, W Germany, Nepal"
GAMA,Gama Peak,7187,6,1,2,1970,GAMA70301,Japan
GAN1,Ganesh I,7422,4,4,2,1955,GAN155301,"Switzerland, France"
GAN3,Ganesh III,7043,4,4,2,1979,GAN379301,"Japan, Nepal"
GAN2,Ganesh II,7118,4,1,2,1981,GAN281302,"W Germany, Nepal"
GAN4,Ganesh IV,7104,4,1,2,1978,GAN478301,"Japan, Nepal"
GAN5,Ganesh V,6770,4,4,2,1980,GAN580101,"Japan, Nepal"
GAN6,Ganesh VI,6908,4,1,2,2000,GAN600101,Japan
GANC,Ganchenpo,6378,3,1,2,1971,GANC71302,USA
GAND,Gandharva Chuli,6248,5,1,2,2013,GAND13101,Romania
GANG,Gangapurna,7455,5,1,2,1965,GANG65101,"W Germany, Nepal"
GAUR,Gaurishankar,7135,2,4,2,1979,GAUR79101,"US, Nepal"
GHUN,Ghustang North,6529,6,1,2,1962,GHUN62301,"UK, Nepal"
GHUS,Ghustang South,6465,6,1,2,2019,GHUS18301,"France, Canada, Switzerland, Nepal"
MATA,Matathumba,5767,7,1,2,1961,MATA61101,"UK, Nepal"
GHYM,Ghyuthumba Main,5806,7,1,2,1953,GHYM53301,"Austria, Nepal, India"
GIME,Gimmigela Chuli East,7007,1,5,2,1993,GIME93301,"Japan, Nepal"
GIMM,Gimmigela Chuli,7350,1,5,2,1994,GIMM94301,"Japan, Nepal"
GLAC,Glacier Dome,7168,5,1,2,1964,GLAC64301,"Japan, Nepal"
GURJ,Gurja Himal,7193,6,1,2,1969,GURJ69301,"Japan, Nepal"
GURK,Gurkarpo Ri,6889,3,4,2,2007,GURK07301,France
GYAC,Gyachung Kang,7861,2,4,2,1964,GYAC64101,"Japan, Nepal"
GYAJ,Gyajikang,7074,5,1,2,1994,GYAJ94301,"Japan, Nepal"
LEOE,Leonpo Gang East,6733,3,4,2,1955,LEOE55101,"UK, Nepal"
HIME,Himalchuli East,7893,4,1,2,1960,HIME60101,Japan
HIML,Himlung Himal,7126,5,1,2,1992,HIML92301,"Japan, Nepal"
HIMN,Himalchuli North,7331,4,1,2,1985,HIMN85302,"S Korea, Nepal"
RANI,Rani Peak,6693,4,1,2,1970,RANI70101,"Netherlands, Nepal"
HIMW,Himalchuli West,7540,4,1,2,1978,HIMW78101,Japan
HIUP,Hiunchuli,6434,5,1,2,1971,HIUP71301,USA
HNKU,Hongku Chuli,6833,2,1,1,,,
HONG,Hongde,6556,6,1,2,1962,HONG62101,"Japan, Nepal"
IMJA,Imjatse,6165,2,1,2,1956,IMJA56101,"Switzerland, Nepal"
JAGD,Jagdula,5761,7,1,2,2013,JAGD13101,France
JANU,Jannu,7711,1,1,2,1962,JANU62101,"France, Nepal"
JETH,Jethi Bahurani,6850,7,1,2,1978,JETH78101,Japan
JONG,Jongsang,7462,1,6,2,1930,JONG30101,"Germany, Austria"
JUNC,Junction Peak,7133,6,1,1,,,
KABD,Kabru Dome,6600,1,3,2,1982,KABD82301,India
KABN,Kabru North,7338,1,5,2,1935,KABN35301,UK
KAG1,Kagmara I,5978,7,1,2,1962,KAG162101,"UK, Nepal"
KAN1,Kande Hiunchuli North  I,6521,7,1,1,,,
KAN2,Kande Hiunchuli North  II,6471,7,1,2,1980,KAN280101,Switzerland
KANB,Kangbachen,7902,1,1,2,1974,KANB74101,Poland
KANC,Kangchenjunga Central,8473,1,5,2,1978,KANC78102,Poland
KAND,Kande Hiunchuli,6627,7,1,2,1972,KAND72301,Japan
KANG,Kangchenjunga,8586,1,5,2,1955,KANG55101,UK
KANS,Kangchenjunga South,8476,1,5,2,1978,KANS78101,Poland
KARY,Karyolung,6530,2,1,2,1982,KARY82301,"Japan, Nepal"
