D,M,Y53,Y56,Y60,Y63,Y65,Y70,Y73,Y75,Y76,Y77,Y78,Y79,Y80,Y81,Y82,Y83,Y84,Y85,Y86,Y87,Y88,Y89,Y90,Y91,Y92,Y93,Y94,Y95,Y96,Y97,Y98,Y99,Y00,Y01,Y02,Y03,Y04,Y05,Y06,Y07,Y08,Y09,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,SUM
17.,02.,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
13.,04.,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2
20.,04.,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
21.,04.,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
22.,04.,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,6
23.,04.,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
26.,04.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,5
29.,04.,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
30.,04.,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,6,7,,,,,,,,,,,16
01.,05.,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
02.,05.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,2,,,,,,,,,,,6
03.,05.,,,,,,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
04.,05.,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
05.,05.,,,,,,,4,,,,,,,,2,,,,,,12,,,,,6,,,,,,20,,,,,,,,,,7,10,9,,,,,,,70
06.,05.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,5,,,,,,,8
07.,05.,,,,,,,4,,,,,,,,,5,,,,,,,6,,,,,1,,4,,,,,,,,,,,11,,4,4,,,,,,,39
08.,05.,,,,,,,,,,,2,,,,2,,2,,,,,,3,4,,,7,,,2,,3,,,,,,,,2,28,,,,,,,,,,55
