year,total,sherpas
1921,1,1
1922,0,7
1924,2,2
1933,0,0
1934,1,0
1935,0,0
1936,0,0
1938,0,0
1947,0,0
1950,0,0
1951,0,0
1952,0,1
1953,0,0
1956,0,0
1958,0,0
1960,1,0
1962,0,1
1963,1,0
1964,1,0
1965,0,0
1966,1,0
1967,0,0
1968,0,0
1969,0,1
1970,1,7
1971,1,0
1972,1,0
1973,0,1
1974,1,5
1975,2,1
1976,1,0
1977,0,0
1978,1,1
1979,2,4
1980,3,1
1981,0,0
1982,6,5
1983,2,1
1984,6,3
1985,7,0
1986,2,3
1987,2,1
1988,6,4
1989,6,2
1990,2,2
1991,2,0
1992,3,5
1993,6,1
1994,3,2
1995,1,3
1996,12,3
1997,6,3
1998,4,0
1999,4,0
2000,2,0
2001,4,1
2002,3,0
2003,3,1
2004,7,0
2005,6,0
2006,7,4
2007,6,1
2008,1,0
2009,3,2
2010,3,0
2011,4,0
2012,7,3
2013,4,4
2014,0,17
2015,3,11
2016,5,0
2017,5,1
2018,2,3
2019,10,1
